uid,year
27712118,2016
27713505,2016
27714487,2016
27714789,2016
27716242,2016
27716392,2016
27716414,2016
27717314,2016
27717627,2016
27717945,2016
27719988,2016
27721110,2016
27723844,2016
27726416,2017
27729183,2016
27729201,2017
27729407,2016
27729507,2016
27729643,2016
27729840,2016
27730165,2016
27731495,2017
27731557,2016
27736642,2016
27737553,2016
27738033,2016
27741183,2016
27741537,2016
27742170,2017
27742355,2016
27743307,2017
27743310,2016
27743485,2017
27743683,2016
27743747,2016
27746763,2016
27746901,2016
27746903,2016
27747251,2016
27747912,2016
27748649,2017
27748650,2017
27748784,2016
27749669,2016
27751615,2016
27751616,2016
27751766,2016
27751882,2017
27752039,2016
27754830,2016
27755638,2016
27757256,2016
27757795,2016
27758685,2017
27759009,2016
27759344,2016
27759838,2016
27759862,2016
27763483,2016
27763656,2017
27763787,2017
27763793,2017
27763795,2017
27764076,2016
27764114,2016
27764115,2016
27765639,2016
27766638,2016
27767924,2016
27767931,2016
27768689,2016
27770704,2016
27770843,2016
27773535,2016
27773536,2016
27774987,2016
27775162,2017
27775637,2016
27776026,2016
27776548,2016
27776823,2017
27776956,2016
27779466,2017
27779781,2016
27780196,2016
27780969,2016
27781090,2016
27783679,2016
27783682,2016
27783802,2016
27784079,2016
27787288,2016
27787490,2016
27787521,2016
27788336,2017
27788396,2016
27788398,2016
27788975,2016
27789523,2016
27792777,2016
27793644,2016
27794382,2016
27794383,2016
27794731,2016
27795432,2017
27797853,2016
27798603,2016
27799296,2017
27800692,2017
27801647,2016
27801807,2016
27802398,2016
27802403,2016
27802406,2016
27802535,2016
27804004,2017
27805221,2016
27805547,2017
27806047,2016
27807228,2017
27807296,2016
27807657,2017
27808208,2016
27809220,2016
27809228,2016
27810502,2017
27811226,2016
27812357,2016
27812601,2016
27812645,2016
27812646,2016
27812648,2016
27812690,2017
27812710,2016
27814481,2016
27814732,2016
27815125,2017
27815145,2016
27815146,2016
27815235,2016
27815736,2017
27818091,2016
27819683,2016
27821513,2017
27821887,2016
27822207,2016
27822403,2016
27824100,2016
27824536,2016
27824828,2016
27825343,2016
27826073,2017
27827826,2017
27829439,2016
27829655,2016
27830429,2017
27831765,2016
27832051,2016
27832058,2016
27832129,2016
27832245,2016
27832267,2016
27832453,2016
27832715,2016
27832979,2017
27833670,2016
27834272,2016
27835759,2016
27835966,2016
27837933,2016
27838352,2017
27838728,2016
27842986,2017
27843157,2016
27843167,2016
27843766,2016
27845325,2016
27845968,2017
27846442,2016
27846847,2016
27848922,2016
27848978,2016
27849039,2016
27849599,2016
27852793,2016
27852856,2017
27853521,2016
27855041,2017
27855206,2016
27855636,2016
27855644,2016
27857129,2017
27858969,2016
27859375,2017
27860092,2017
27862008,2017
27862959,2017
27863275,2017
27864138,2017
27865425,2017
27866470,2016
27866593,2016
27866611,2016
27866627,2016
27866982,2017
27867910,2016
27868270,2017
27868318,2017
27869391,2016
27869394,2016
27869724,2016
27869959,2016
27869964,2016
27869981,2016
27869982,2016
27870688,2017
27870689,2017
27871327,2016
27871511,2016
27872364,2017
27872736,2016
27874162,2016
27875110,2017
27875460,2016
27876044,2016
27876396,2017
27876484,2017
27876643,2017
27876647,2017
27878100,2016
27878897,2017
27880747,2016
27881148,2016
27881181,2016
27881434,2016
27881649,2017
27882950,2016
27884405,2016
27884655,2016
27885280,2016
27885509,2017
27885741,2017
27885789,2017
27886338,2016
27888265,2016
27889529,2017
27889615,2017
27890363,2016
27890376,2016
27891783,2016
27891785,2016
27891786,2016
27892990,2017
27892997,2017
27893080,2017
27893824,2016
27894003,2017
27894035,2017
27894121,2017
27896560,2017
27897973,2016
27899230,2017
27899351,2016
27899620,2017
27899678,2017
27900645,2016
27901259,2016
27902358,2016
27902502,2017
27902932,2017
27902933,2017
27903317,2017
27904600,2016
27905267,2016
27906864,2017
27906905,2016
27908879,2016
27909576,2016
27911847,2016
27911897,2016
27912090,2016
27912091,2016
27914465,2016
27914622,2017
27914626,2017
27914834,2017
27914852,2017
27915293,2016
27916339,2017
27916410,2016
27916837,2016
27918261,2016
27918946,2017
27919154,2016
27919709,2017
27920162,2017
27921244,2016
27922001,2016
27922617,2017
27923187,2017
27923889,2017
27923950,2016
27926355,2017
27926933,2016
27926934,2016
27927093,2016
27927858,2017
27927917,2017
27929218,2016
27929451,2016
27929575,2016
27930336,2016
27930650,2016
27930910,2016
27932442,2017
27932779,2016
27933090,2016
27934714,2016
27934740,2016
27934765,2016
27934884,2016
27934901,2016
27936448,2017
27937012,2016
27939402,2017
27939768,2017
27940580,2016
27940708,2016
27940942,2017
27941545,2017
27942961,2017
27955630,2016
27959260,2017
27959695,2016
27960068,2016
27960197,2017
27960198,2017
27966238,2017
27966802,2017
27966815,2017
27966962,2017
27974058,2017
27974556,2017
27974560,2017
27974667,2016
27976454,2017
27977308,2017
27977548,2017
27977645,2016
27977671,2016
27977881,2017
27978904,2016
27979342,2017
27980884,2016
27981937,2016
27982119,2016
27982288,2016
27982355,2016
27984418,2017
27986688,2017
27987206,2017
27988410,2017
27989237,2016
27990003,2017
27990081,2016
27990321,2016
27991555,2016
27993851,2017
27993855,2017
27994145,2017
27994281,2016
27994533,2016
27995511,2017
27997330,2017
27997333,2017
27997515,2016
27997523,2016
27997547,2016
27997831,2016
27997935,2016
27997936,2016
27997942,2016
27998085,2016
27998553,2017
27998580,2016
27998594,2016
27998595,2016
28000206,2017
28001214,2016
28002820,2017
28004307,2017
28004846,2016
28005002,2017
28005499,2017
28005902,2016
28006649,2016
28007310,2016
28007828,2017
28008055,2016
28008958,2016
28009279,2016
28009384,2016
28011234,2017
28011725,2017
28017252,2017
28017432,2017
28017726,2017
28018746,2016
28019034,2017
28024241,2017
28024678,2016
28026036,2017
28027002,2017
28027061,2017
28027353,2016
28028709,2017
28028879,2017
28030386,2017
28030537,2016
28030682,2017
28031307,2016
28031359,2017
28032327,2017
28033340,2016
28033379,2016
28034593,2017
28034741,2017
28034743,2017
28034744,2017
28035106,2016
28035650,2017
28039355,2017
28041895,2017
28041959,2017
28042362,2017
28042515,2016
28042993,2017
28045216,2017
28045901,2017
28049006,2017
28049830,2017
28050952,2016
28050965,2016
28051181,2017
28051775,2016
28053106,2017
28053366,2017
28053996,2016
28054419,2017
28055221,2016
28056002,2017
28056005,2017
28058206,2016
28060137,2017
28060216,2017
28060809,2017
28062188,2017
28062314,2017
28062794,2017
28063994,2017
28066317,2016
28066354,2016
28067914,2017
28068342,2017
28068395,2017
28068513,2017
28068604,2017
28068904,2017
28069071,2017
28069360,2017
28069378,2017
28069884,2017
28071614,2016
28072401,2017
28072517,2017
28072676,2017
28073577,2017
28073898,2017
28074023,2017
28074025,2017
28074128,2017
28074378,2017
28074379,2017
28074988,2016
28075325,2017
28075354,2017
28075376,2017
28075694,2017
28076467,2017
28076569,2016
28076778,2017
28077143,2017
28077444,2017
28078104,2017
28078779,2017
28081143,2017
28081439,2017
28081442,2017
28081529,2016
28082294,2017
28083537,2016
28084324,2017
28084987,2017
28085877,2017
28086897,2017
28087275,2017
28087772,2017
